coef,zipcodes
-0.0348,98002
0.0487,98003
1.243,98004
0.832,98005
0.7964,98006
0.7288,98007
0.6827,98008
0.3244,98010
0.4636,98011
0.4029,98014
0.3432,98019
0.1537,98022
-0.0057,98023
0.4858,98024
0.5829,98027
0.4257,98028
0.6623,98029
0.0373,98030
0.0784,98031
-0.0146,98032
0.865,98033
0.5832,98034
0.1851,98038
1.5253,98039
1.0397,98040
0.0947,98042
0.3919,98045
0.6895,98052
0.6582,98053
0.1507,98055
0.35,98056
0.1913,98058
0.3752,98059
0.4249,98065
0.4174,98070
0.538,98072
0.6518,98074
0.6782,98075
0.5897,98077
0.0836,98092
1.0386,98102
0.8531,98103
0.9913,98105
0.3447,98106
0.8874,98107
0.3373,98108
1.0525,98109
1.1613,98112
0.8375,98115
0.8194,98116
0.8437,98117
0.4673,98118
1.0682,98119
0.8592,98122
0.5724,98125
0.5953,98126
0.4688,98133
0.7376,98136
0.7055,98144
0.2817,98146
0.1219,98148
0.4409,98155
0.3515,98166
0.0542,98168
0.6796,98177
0.1389,98178
0.0966,98188
0.1007,98198
0.9353,98199
